x,y,z,pass
62,88,69,True
2,54,3,False
57,67,73,True
3,52,23,False
77,40,95,True
6,32,56,False
64,100,60,True
67,58,72,True
36,67,20,False
69,47,77,True
44,69,57,False
80,56,65,True
78,29,45,False
53,98,80,True
73,15,85,False
89,97,85,True
60,40,80,True
71,74,56,True
45,61,31,False
43,90,52,True
86,21,66,False
98,70,83,True
53,70,80,True
81,77,60,True
41,66,93,True
85,50,0,False
73,96,45,True
67,90,41,True
73,64,29,False
90,59,17,False
65,56,64,True
47,85,54,True
54,89,66,True
62,91,54,True
100,86,57,True
68,58,79,True
54,91,56,True
58,83,95,True
87,36,23,False
83,27,93,False
100,51,54,True
86,67,65,True
8,7,24,False
80,85,71,True
99,67,93,True
62,78,61,True
31,69,62,False
98,100,52,True
74,53,46,False
38,30,83,False
73,78,85,True
52,50,29,False
60,66,16,False
90,83,82,True
