a,b,c,class
3.33,4.75,3.40,right triangle
9.52,9.38,6.92,acute triangle
9.54,3.79,3.71,obtuse triangle
7.58,8.43,3.70,right triangle
8.58,8.59,8.84,acute triangle
4.02,8.64,3.17,obtuse triangle
3.12,5.92,5.04,right triangle
7.30,7.19,6.85,acute triangle
7.11,7.65,6.97,acute triangle
8.55,8.79,8.40,acute triangle
7.00,4.08,8.10,right triangle
5.65,9.14,4.29,obtuse triangle
8.63,9.47,9.75,acute triangle
3.86,5.34,8.64,obtuse triangle
4.27,6.71,5.18,right triangle
7.42,3.91,3.60,obtuse triangle
3.30,7.71,4.33,obtuse triangle
8.15,9.41,9.56,acute triangle
8.36,9.28,7.74,acute triangle
7.17,6.95,7.12,acute triangle
3.15,7.46,3.82,obtuse triangle
8.65,8.45,9.81,acute triangle
4.12,6.69,5.27,right triangle
7.13,9.33,6.01,right triangle
8.07,5.77,5.64,right triangle
9.45,8.95,8.82,acute triangle
3.39,5.15,8.78,obtuse triangle
8.00,8.23,7.11,acute triangle
5.19,7.90,5.95,right triangle
7.40,9.35,5.71,right triangle
4.56,5.45,9.97,obtuse triangle
8.28,8.01,7.05,acute triangle
3.96,4.07,7.77,obtuse triangle
7.75,6.62,7.67,acute triangle
3.98,5.43,6.74,right triangle
5.42,4.02,8.92,obtuse triangle
5.41,7.62,9.34,right triangle
3.13,3.97,9.92,obtuse triangle
6.99,6.99,6.48,acute triangle
9.19,9.13,7.51,acute triangle
4.87,8.32,3.53,obtuse triangle
8.83,6.80,5.63,right triangle
5.92,7.19,4.08,right triangle
7.26,9.68,9.29,acute triangle
9.24,9.78,7.66,acute triangle
4.95,9.75,3.54,obtuse triangle
9.69,4.93,4.22,obtuse triangle
8.34,4.64,4.09,obtuse triangle
6.84,7.71,3.56,right triangle
9.20,3.96,8.30,right triangle
6.77,7.23,7.29,acute triangle
6.98,6.37,6.55,acute triangle
8.40,8.39,6.83,acute triangle
6.58,6.26,6.21,acute triangle
6.86,6.60,6.22,acute triangle
5.07,9.60,8.15,right triangle
4.97,10.00,5.69,obtuse triangle
3.90,7.99,4.31,obtuse triangle
9.30,8.55,8.84,acute triangle
4.82,8.61,7.13,right triangle
4.53,3.27,7.94,obtuse triangle
7.82,5.93,9.81,right triangle
8.49,8.65,9.71,acute triangle
6.31,6.08,6.37,acute triangle
4.08,4.27,9.85,obtuse triangle
9.69,3.77,8.93,right triangle
4.52,7.10,8.42,right triangle
6.15,5.03,7.95,right triangle
7.14,9.66,6.51,right triangle
3.24,9.13,4.57,obtuse triangle
7.23,8.14,3.74,right triangle
4.19,9.74,3.42,obtuse triangle
6.38,3.60,7.32,right triangle
9.67,9.92,8.99,acute triangle
8.81,4.84,4.71,obtuse triangle
7.45,9.23,8.64,acute triangle
8.62,5.33,3.49,obtuse triangle
7.34,3.14,3.57,obtuse triangle
6.13,4.01,7.33,right triangle
8.86,9.35,3.00,right triangle
9.07,3.71,3.95,obtuse triangle
7.03,9.33,6.14,right triangle
8.05,7.83,8.34,acute triangle
4.40,6.76,8.07,right triangle
6.45,9.27,3.27,obtuse triangle
6.59,3.51,5.58,right triangle
7.86,9.37,5.11,right triangle
6.04,9.30,7.07,right triangle
3.58,3.16,4.78,right triangle
7.11,3.01,6.44,right triangle
9.90,4.42,6.21,obtuse triangle
3.26,8.97,8.36,right triangle
8.46,6.81,8.69,acute triangle
7.46,3.86,3.58,obtuse triangle
8.71,4.50,9.80,right triangle
7.85,8.84,4.06,right triangle
9.22,4.74,3.14,obtuse triangle
3.98,7.57,8.55,right triangle
9.88,6.58,3.68,obtuse triangle
7.32,8.33,3.97,right triangle
5.60,5.80,5.75,acute triangle
7.97,4.20,6.78,right triangle
4.25,6.50,9.92,obtuse triangle
3.88,5.96,9.99,obtuse triangle
3.48,3.74,8.19,obtuse triangle
5.96,6.82,9.06,right triangle
4.49,7.51,6.02,right triangle
5.36,4.34,6.89,right triangle
7.18,8.24,8.18,acute triangle
6.41,7.69,7.59,acute triangle
3.66,9.09,9.80,right triangle
4.88,9.92,6.01,obtuse triangle
7.85,9.27,9.82,acute triangle
9.26,4.67,5.19,obtuse triangle
8.68,4.14,9.62,right triangle
3.54,7.19,3.05,obtuse triangle
7.97,7.82,6.78,acute triangle
9.35,8.48,3.95,right triangle
6.83,7.55,7.93,acute triangle
6.30,6.80,7.24,acute triangle
9.97,3.15,6.39,obtuse triangle
6.93,7.08,7.24,acute triangle
3.04,4.37,9.74,obtuse triangle
6.93,6.93,9.80,right triangle
8.05,7.99,7.21,acute triangle
9.53,8.41,9.32,acute triangle
4.05,3.62,8.84,obtuse triangle
9.76,9.85,9.72,acute triangle
3.89,5.70,4.17,right triangle
9.24,9.08,7.23,acute triangle
8.56,3.97,3.96,obtuse triangle
9.66,4.50,3.29,obtuse triangle
5.62,5.42,5.38,acute triangle
3.76,8.58,7.71,right triangle
5.87,8.68,3.05,obtuse triangle
9.36,8.72,9.13,acute triangle
8.32,9.38,9.58,acute triangle
6.59,6.45,6.96,acute triangle
9.26,8.16,8.24,acute triangle
3.16,7.52,6.83,right triangle
3.99,8.31,4.67,obtuse triangle
8.80,8.15,8.81,acute triangle
6.26,6.57,6.80,acute triangle
8.01,4.69,3.48,obtuse triangle
8.36,8.43,7.59,acute triangle
7.68,3.29,6.94,right triangle
8.87,7.59,8.03,acute triangle
3.95,5.38,6.67,right triangle
6.08,3.10,8.92,obtuse triangle
7.31,8.48,4.31,right triangle
5.20,6.52,8.34,right triangle
3.55,9.90,5.87,obtuse triangle
8.44,8.82,9.68,acute triangle
3.33,3.07,9.84,obtuse triangle
8.73,8.15,7.78,acute triangle
7.15,8.13,7.88,acute triangle
5.95,9.82,4.32,obtuse triangle
9.45,3.60,6.34,obtuse triangle
7.59,7.59,8.58,acute triangle
5.26,9.11,7.44,right triangle
7.64,8.44,8.09,acute triangle
6.31,9.22,6.72,right triangle
7.98,3.96,4.30,obtuse triangle
9.89,9.44,9.83,acute triangle
9.96,7.76,6.25,right triangle
9.40,9.53,6.86,acute triangle
7.67,9.13,9.64,acute triangle
7.43,8.57,7.60,acute triangle
3.77,3.92,7.66,obtuse triangle
7.81,8.69,8.51,acute triangle
9.38,9.48,9.25,acute triangle
8.03,7.96,7.28,acute triangle
6.53,6.79,6.06,acute triangle
8.54,8.49,7.15,acute triangle
3.08,4.38,3.11,right triangle
6.07,5.21,8.00,right triangle
3.33,8.49,7.81,right triangle
8.65,9.85,4.71,right triangle
9.62,9.63,7.92,acute triangle
5.43,3.26,4.34,right triangle
7.56,9.78,9.24,acute triangle
6.68,8.13,4.64,right triangle
7.58,7.81,7.91,acute triangle
5.19,3.40,6.20,right triangle
6.53,7.22,6.91,acute triangle
3.95,9.37,3.48,obtuse triangle
7.91,9.60,9.14,acute triangle
8.95,6.61,6.03,right triangle
9.52,9.23,9.97,acute triangle
9.92,3.13,9.41,right triangle
9.41,4.75,3.62,obtuse triangle
5.69,6.34,6.12,acute triangle
3.32,6.72,7.49,right triangle
7.73,8.10,8.32,acute triangle
8.30,9.18,7.58,acute triangle
8.81,6.63,5.81,right triangle
8.15,6.90,4.34,right triangle
7.20,6.82,7.43,acute triangle
8.31,9.38,9.08,acute triangle
5.48,5.56,7.81,right triangle
3.91,9.05,8.16,right triangle
3.16,4.80,8.20,obtuse triangle
9.23,3.75,4.35,obtuse triangle
8.69,8.09,8.79,acute triangle
4.26,9.23,4.02,obtuse triangle
4.33,3.93,8.61,obtuse triangle
8.41,6.91,4.79,right triangle
5.60,5.37,9.84,obtuse triangle
4.32,5.88,3.99,right triangle
3.90,5.71,4.18,right triangle
3.04,3.15,4.37,right triangle
8.51,4.58,3.15,obtuse triangle
9.84,9.99,9.10,acute triangle
5.01,3.06,8.25,obtuse triangle
6.37,9.02,6.38,right triangle
3.13,6.54,7.25,right triangle
6.98,7.70,7.79,acute triangle
8.46,4.27,7.30,right triangle
6.57,7.80,4.20,right triangle
3.19,5.79,4.83,right triangle
4.99,4.82,6.94,right triangle
4.50,9.74,5.75,obtuse triangle
3.33,7.59,6.82,right triangle
3.12,6.76,5.99,right triangle
7.15,8.83,8.51,acute triangle
6.52,6.14,6.02,acute triangle
9.08,9.46,7.57,acute triangle
5.28,6.24,8.18,right triangle
4.41,9.31,5.70,obtuse triangle
4.28,8.04,9.11,right triangle
4.01,3.41,5.27,right triangle
7.41,3.65,6.45,right triangle
9.10,8.25,8.72,acute triangle
7.42,3.74,6.41,right triangle
3.68,9.06,5.62,obtuse triangle
8.41,7.61,3.57,right triangle
8.53,3.95,7.56,right triangle
8.67,9.48,7.86,acute triangle
7.46,6.25,4.08,right triangle
9.43,7.73,5.41,right triangle
5.42,9.50,3.05,obtuse triangle
7.12,9.98,7.00,right triangle
8.56,3.54,7.80,right triangle
4.63,4.08,9.10,obtuse triangle
8.91,5.68,3.75,obtuse triangle
8.62,8.98,7.77,acute triangle
4.68,3.08,8.51,obtuse triangle
9.82,6.74,3.02,obtuse triangle
9.68,8.42,9.17,acute triangle
4.42,4.14,9.85,obtuse triangle
9.59,9.98,9.74,acute triangle
5.39,9.61,3.75,obtuse triangle
8.78,9.45,9.01,acute triangle
7.12,3.97,5.91,right triangle
5.42,5.65,5.53,acute triangle
5.31,7.47,9.16,right triangle
9.63,7.56,9.21,acute triangle
9.57,6.21,3.04,obtuse triangle
10.00,3.57,5.73,obtuse triangle
8.62,7.81,3.66,right triangle
6.38,4.06,9.83,obtuse triangle
7.38,8.36,8.98,acute triangle
4.60,3.59,9.87,obtuse triangle
3.24,7.10,7.80,right triangle
7.65,8.86,7.95,acute triangle
3.02,9.57,9.08,right triangle
8.20,3.91,3.54,obtuse triangle
5.93,5.88,5.65,acute triangle
6.41,9.70,3.66,obtuse triangle
9.53,9.12,7.23,acute triangle
3.73,8.62,3.74,obtuse triangle
7.05,7.15,7.31,acute triangle
7.01,5.51,4.34,right triangle
5.57,6.90,4.07,right triangle
8.99,7.70,9.44,acute triangle
8.36,8.64,9.00,acute triangle
3.10,3.73,8.19,obtuse triangle
4.63,7.81,3.39,obtuse triangle
7.44,7.44,7.69,acute triangle
6.82,7.40,7.19,acute triangle
4.18,7.85,6.65,right triangle
5.28,4.35,9.69,obtuse triangle
6.57,4.05,5.17,right triangle
7.28,8.00,7.40,acute triangle
9.35,9.20,8.03,acute triangle
5.94,9.64,4.21,obtuse triangle
7.47,4.10,3.24,obtuse triangle
7.94,7.84,7.45,acute triangle
8.35,9.25,8.13,acute triangle
7.58,8.30,8.23,acute triangle
7.35,7.56,6.93,acute triangle
3.48,7.54,3.16,obtuse triangle
7.28,4.89,8.77,right triangle
7.39,8.52,9.12,acute triangle
9.31,4.26,5.19,obtuse triangle
3.83,4.73,9.59,obtuse triangle
4.58,7.57,6.02,right triangle
9.51,9.06,7.85,acute triangle
7.87,7.52,7.42,acute triangle
9.85,8.20,9.99,acute triangle
7.97,8.69,9.43,acute triangle
3.97,6.14,4.69,right triangle
5.74,9.53,3.72,obtuse triangle
8.29,6.97,8.35,acute triangle
9.87,9.52,8.01,acute triangle
8.17,9.15,9.30,acute triangle
4.19,8.92,4.48,obtuse triangle
5.30,9.39,7.75,right triangle
9.00,8.83,8.16,acute triangle
8.95,8.57,7.28,acute triangle
6.19,3.89,4.82,right triangle
7.73,3.10,3.99,obtuse triangle
3.75,4.36,9.72,obtuse triangle
4.26,9.35,5.93,obtuse triangle
9.69,3.72,4.08,obtuse triangle
8.99,9.51,7.85,acute triangle
9.87,9.67,8.23,acute triangle
4.38,9.79,3.73,obtuse triangle
8.09,10.00,5.87,right triangle
8.25,4.56,3.43,obtuse triangle
9.88,3.87,5.22,obtuse triangle
6.58,7.93,7.62,acute triangle
7.49,9.08,9.51,acute triangle
9.43,4.35,3.22,obtuse triangle
4.46,8.95,5.01,obtuse triangle
8.88,9.67,9.05,acute triangle
7.49,8.43,7.74,acute triangle
6.00,3.48,4.89,right triangle
5.42,7.98,5.85,right triangle
3.49,9.89,4.62,obtuse triangle
4.13,9.28,3.28,obtuse triangle
7.56,9.43,9.89,acute triangle
4.44,3.62,7.95,obtuse triangle
9.90,9.92,9.36,acute triangle
4.43,6.37,9.79,obtuse triangle
6.49,6.86,7.44,acute triangle
7.74,7.01,7.30,acute triangle
9.01,5.69,6.98,right triangle
7.93,8.97,4.20,right triangle
6.57,6.22,6.75,acute triangle
8.55,5.35,3.49,obtuse triangle
8.28,9.78,9.86,acute triangle
3.87,5.57,4.00,right triangle
3.36,8.46,3.16,obtuse triangle
3.49,9.85,5.04,obtuse triangle
7.19,9.06,8.92,acute triangle
4.65,3.81,8.79,obtuse triangle
7.90,3.64,7.01,right triangle
7.80,7.85,6.39,acute triangle
7.79,5.33,5.69,right triangle
8.97,9.30,7.48,acute triangle
8.32,9.58,9.08,acute triangle
8.56,7.78,8.51,acute triangle
4.73,8.51,3.44,obtuse triangle
4.22,4.69,9.68,obtuse triangle
4.55,4.46,8.63,obtuse triangle
7.35,6.55,7.64,acute triangle
4.35,6.00,7.41,right triangle
8.64,4.22,4.55,obtuse triangle
9.18,5.57,7.30,right triangle
3.87,5.22,3.49,right triangle
8.52,9.70,8.68,acute triangle
6.63,4.69,4.68,right triangle
9.67,3.79,4.37,obtuse triangle
5.26,8.99,3.46,obtuse triangle
7.81,7.12,7.92,acute triangle
6.26,5.30,8.20,right triangle
8.32,9.35,8.35,acute triangle
6.30,7.41,3.91,right triangle
7.96,3.54,8.71,right triangle
9.92,4.85,5.10,obtuse triangle
6.59,3.47,9.48,obtuse triangle
9.34,7.91,9.12,acute triangle
9.79,9.31,8.06,acute triangle
9.57,5.36,3.56,obtuse triangle
9.93,4.10,5.36,obtuse triangle
4.55,7.09,8.42,right triangle
8.87,7.56,8.88,acute triangle
7.40,7.91,7.58,acute triangle
7.80,9.76,9.73,acute triangle
9.04,3.05,6.19,obtuse triangle
5.80,7.43,4.64,right triangle
8.88,5.25,3.99,obtuse triangle
6.43,7.91,4.61,right triangle
6.76,7.83,7.76,acute triangle
8.94,9.06,9.96,acute triangle
4.20,7.79,6.56,right triangle
9.65,8.49,8.06,acute triangle
9.19,3.90,3.90,obtuse triangle
3.93,6.62,9.89,obtuse triangle
8.08,8.69,3.21,right triangle
3.67,6.92,5.86,right triangle
5.98,9.78,3.15,obtuse triangle
3.94,9.40,4.32,obtuse triangle
8.29,9.03,3.57,right triangle
8.03,6.20,5.10,right triangle
6.21,6.51,6.81,acute triangle
8.88,7.89,7.98,acute triangle
3.20,9.25,3.25,obtuse triangle
9.66,4.01,5.07,obtuse triangle
9.08,8.95,7.46,acute triangle
8.57,6.90,5.09,right triangle
8.29,8.35,8.83,acute triangle
5.67,8.24,5.98,right triangle
6.67,8.08,8.31,acute triangle
4.75,8.98,4.30,obtuse triangle
9.70,8.61,9.60,acute triangle
7.26,9.48,9.22,acute triangle
7.41,8.16,8.66,acute triangle
7.48,5.05,9.02,right triangle
3.66,3.44,8.38,obtuse triangle
7.63,7.89,6.88,acute triangle
9.55,9.32,9.10,acute triangle
6.10,3.77,7.17,right triangle
8.46,9.87,5.09,right triangle
7.16,8.07,7.14,acute triangle
7.15,6.13,3.69,right triangle
6.26,4.67,4.17,right triangle
9.40,3.75,3.04,obtuse triangle
8.68,8.70,8.18,acute triangle
6.43,4.44,7.81,right triangle
4.42,9.89,5.92,obtuse triangle
3.44,5.74,4.59,right triangle
9.43,9.51,7.22,acute triangle
3.01,9.69,3.76,obtuse triangle
5.79,3.74,4.42,right triangle
7.35,8.85,8.63,acute triangle
3.30,9.03,8.41,right triangle
9.39,6.09,3.45,obtuse triangle
8.46,3.19,3.69,obtuse triangle
7.33,4.59,8.65,right triangle
8.96,3.48,3.25,obtuse triangle
7.80,8.01,8.85,acute triangle
3.70,4.97,9.00,obtuse triangle
9.06,3.78,5.21,obtuse triangle
3.65,8.84,9.56,right triangle
8.69,8.42,6.81,acute triangle
9.49,4.93,4.83,obtuse triangle
9.25,8.60,3.41,right triangle
5.47,4.11,9.34,obtuse triangle
8.91,3.19,4.55,obtuse triangle
8.14,9.90,5.64,right triangle
9.54,8.14,9.96,acute triangle
3.03,6.37,9.81,obtuse triangle
6.01,7.06,7.27,acute triangle
9.66,8.59,4.43,right triangle
4.56,9.12,4.30,obtuse triangle
7.28,7.34,7.68,acute triangle
6.43,4.56,4.54,right triangle
4.43,4.12,9.81,obtuse triangle
7.34,3.04,6.68,right triangle
9.93,4.30,8.95,right triangle
9.41,9.75,9.94,acute triangle
